epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.4002,1.39722,0.73622,0.98622,0.71443,0.000330709,0.000330709,0.000330709
2,36.1859,0.77026,0.7874,0.99803,0.53275,0.000631172,0.000631172,0.000631172
3,44.0733,0.61953,0.82874,0.99803,0.43436,0.000898635,0.000898635,0.000898635
4,51.6163,0.52662,0.85039,0.99606,0.42905,0.0008515,0.0008515,0.0008515
5,59.2194,0.47993,0.88386,1,0.29805,0.000802,0.000802,0.000802
6,67.0791,0.3509,0.88189,0.99803,0.35535,0.0007525,0.0007525,0.0007525
7,74.5604,0.32184,0.90354,1,0.28961,0.000703,0.000703,0.000703
8,82.5196,0.30643,0.90157,0.99606,0.26743,0.0006535,0.0006535,0.0006535
9,90.0445,0.249,0.91929,1,0.23418,0.000604,0.000604,0.000604
10,97.9462,0.249,0.91339,0.99803,0.24593,0.0005545,0.0005545,0.0005545
11,185.121,0.22051,0.91929,0.99803,0.21707,0.000505,0.000505,0.000505
12,193.498,0.17907,0.9252,1,0.19548,0.0004555,0.0004555,0.0004555
13,201.1,0.17061,0.93504,1,0.19519,0.000406,0.000406,0.000406
14,208.846,0.15978,0.9311,1,0.23019,0.0003565,0.0003565,0.0003565
15,216.461,0.14692,0.93701,1,0.19927,0.000307,0.000307,0.000307
16,224.304,0.14586,0.93307,1,0.1986,0.0002575,0.0002575,0.0002575
17,232.153,0.13187,0.93898,1,0.18367,0.000208,0.000208,0.000208
18,240.267,0.13753,0.93898,1,0.19137,0.0001585,0.0001585,0.0001585
19,247.88,0.13806,0.94291,1,0.18674,0.000109,0.000109,0.000109
20,255.989,0.12698,0.93504,1,0.18413,5.95e-05,5.95e-05,5.95e-05
